University_Name_CN,University_Name_EN,University_Name_Local,City,URL,University_Abbr,University_Other_Name,Description_CN,Description_EN,Unit_CN,Unit_EN,Lon,Lat
香港浸会大学,Hong Kong Baptist University ,,Hong Kong,https://geog.hkbu.edu.hk/,HKBU,,"香港浸会大学地理系历史悠久，前身为1960年成立的历史与地理系，后于1978年独立成系，隶属于社会科学学院。部门内设有三个研究中心：中国城市与区域研究中心（CURS）；亚洲能源研究中心（AESC，原称为香港能源研究中心），以及地理计算研究中心（CGS）。地理系主要的4个研究方向是：

地理分析，GIS和遥感

能源，可持续发展和资源管理

自然景观与环境变化

城市与区域研究

研究型学位提供MPhil和PhD学位，涉及主题广泛，包括：GIS和遥感、人类生物气象学、环境规划与管理、城市绿化问题、古环境和海洋自然环境、沉积学、城市住房市场、城市规划、交通运输研究、中国从农村向城市的迁移、能源研究、政治地理；另外还与其他部门联合培养2个基于课程型的研究生项目：当代中国研究（MS，专注于城市发展与环境管理）和全球社会（MA）。","The Department of Geography of Hong Kong Baptist University has a long history. It was formerly the Department of History and Geography established in 1960, and then became an independent department in 1978, under the Faculty of Social Sciences. There are three research centers in the department: China Urban and Regional Research Center (CURS); Asian Energy Research Center (AESC, formerly known as Hong Kong Energy Research Center), and Geographical Computing Research Center (CGS). The four main research directions of the Department of Geography are:
-Geographical analysis, GIS and remote sensing
-Energy, sustainability and resource management
-Natural landscape and environmental changes
-Urban and regional studies

Research degree offers MPhil and PhD degrees, covering a wide range of topics, including: GIS and remote sensing, human biometeorology, environmental planning and management, urban greening issues, paleoenvironment and marine natural environment, sedimentology, urban housing market, urban planning, Transportation research, China's migration from rural to urban areas, energy research, political geography; in addition, it also cooperates with other departments to train 2 course-based graduate programs: Contemporary China Studies (MS, focusing on urban development and environmental management) and global Society (MA).",地理系,Department of Geography,114.183,22.334
文莱大学,University of Brunei Darussalam,,Bandar Seri Begawan,https://fass.ubd.edu.bn/,UBD,,UBD在地理、环境和发展领域开设[硕士和博士学位课程](https://fass.ubd.edu.bn/majors/geog-env-dev.html)。地理专业以研究为基础，涉及地理学科的任何方面，包括人文地理、自然地理、土地测量、遥感、地理信息系统和测绘。,"The UBD operates [masters and doctoral degree programs](https://fass.ubd.edu.bn/majors/geog-env-dev.html) in geography, environment, and development. The geography programs are research-based with a topic in any aspect in geography, including human geography, physical geography, land surveying, remote sensing, GIS, and mappings.",艺术和社会科学学院,Faculty of Arts and Social Sciences,114.891,4.972
塞浦路斯理工大学,Cyprus University of Technology,,Limassol,https://www.cut.ac.cy/studies/masters/master-programmes/ceg-gr-cis/,CUT,,CUT拥有[地理信息与地理空间技术]硕士学位(https://www.cut.ac.cy/studies/masters/master-programmes/ceg-gr-cis/)。这是一个混合课程和论文跟踪硕士项目。学生们要上60学分的课，还要完成一份30学分的论文报告。这个项目的一般持续时间是13个月。教学语言是希腊语。该大学还授予[土木与地理空间工程]博士学位(https://www.cut.ac.cy/studies/phd/phd-posts/ceg-pg/)。,The CUT has a MSc degree in [Geoinformatics and Geospatial Technology](https://www.cut.ac.cy/studies/masters/master-programmes/ceg-gr-cis/). It's a hybrid course and thesis track master's program. Students are taking 60 credits of classes and also completing a 30-credit thesis report. The typical duration of this program is 13 months. The instruction language is Greek. This university also grants a doctoral degree in [Civil and Geospatial Engineering](https://www.cut.ac.cy/studies/phd/phd-posts/ceg-pg/).,,,33.041,34.675
东地中海大学,Eastern Mediterranean University,,Famagusta,https://www.emu.edu.tr/en/academics/faculties/faculty-of-architecture/architecture/1133,EMU,,建筑系提供城市设计硕士学位课程，有论文和非论文两种选择。数学系提供[信息系统](https://www.emu.edu.tr/en/programs/information-systems-masters-program-without-thesis/939)的无论文硕士学位，其中一个可选专业是GIS。这些课程都是用英语授课的。,The Department of Architecture offers the Masters degree programs in urban design with both thesis and non-thesis options. The math department offers a non-thesis Masters degree in [Information Systems](https://www.emu.edu.tr/en/programs/information-systems-masters-program-without-thesis/939) with one of the optional concentrations being the GIS. These classes are delivered in English.,建筑系,Department of Architecture,33.911,35.142
东地中海大学,Eastern Mediterranean University,,Famagusta,https://www.emu.edu.tr/en/academics/faculties/faculty-of-arts-sciences/department-of-mathematics/758,EMU,,建筑系提供城市设计硕士学位课程，有论文和非论文两种选择。数学系提供[信息系统](https://www.emu.edu.tr/en/programs/information-systems-masters-program-without-thesis/939)的无论文硕士学位，其中一个可选专业是GIS。这些课程都是用英语授课的。,The Department of Architecture offers the Masters degree programs in urban design with both thesis and non-thesis options. The math department offers a non-thesis Masters degree in [Information Systems](https://www.emu.edu.tr/en/programs/information-systems-masters-program-without-thesis/939) with one of the optional concentrations being the GIS. These classes are delivered in English.,数学系,Department of Mathematics,33.911,35.142
香港大学,University of Hong Kong,,Hong Kong,https://www.geog.hku.hk/,HKU,,"香港大学城市规划及设计系(DUPAD)前身是1980年成立的香港大学城市规划及环境管理研究中心(CUPEM)。该中心于2008年改组为城市规划及设计系，承担与城市规划、住房管理、城市交通相关的教学与科研工作。该系提供本科生、授课型硕士、科研型硕士、科研型博士项目。目前开设的全日制授课型硕士项目包括城市规划、城市分析、城市设计、住房管理、交通政策与规划。

香港大学地理系主要有中国相关研究、环境研究、城市和交通研究三个研究方向。该系提供本科生、授课型硕士、科研型硕士、科研型博士项目。

香港大学房地产与建设系(前身为测量系)于1984年6月正式成立，从跨学科的基础上应对测量专业的学术挑战。该系提供四个授课型硕士项目：房地产、建筑项目管理、和综合项目交付。","The Department of Urban Planning and Design (DUPAD) was established in the Faculty of Architecture following the reorganization of the Centre of Urban Planning and Environmental Management (CUPEM) on 1 July 2008 to continue the teaching of urban planning and related areas in housing management and transport which can be dated back to 1980. DUPAD offers taught post-graduate and MPhil and PhD programs in Urban Planning, Urban Design, Housing Management and Transport Policy and Planning.

The Department of Geography of the University of Hong Kong has three research directions: China-related research, environmental research, and urban and transportation research. The department offers undergraduates, taught masters, research masters, and research doctoral programs.

The Department of Real Estate and Construction (REC), formerly known as Department of Surveying, was established in June 1984. The Department has now expanded into an even wider spectrum of expertise, covering virtually every aspect of land, construction, real estate, and conservation, with a growing interest in digital technologies and data analytics.",地理系,Department of GEOGRAPHY,114.207,22.42
香港大学,University of Hong Kong,,Hong Kong,https://www.arch.hku.hk/programmes_/rec/,HKU,,"香港大学城市规划及设计系(DUPAD)前身是1980年成立的香港大学城市规划及环境管理研究中心(CUPEM)。该中心于2008年改组为城市规划及设计系，承担与城市规划、住房管理、城市交通相关的教学与科研工作。该系提供本科生、授课型硕士、科研型硕士、科研型博士项目。目前开设的全日制授课型硕士项目包括城市规划、城市分析、城市设计、住房管理、交通政策与规划。

香港大学地理系主要有中国相关研究、环境研究、城市和交通研究三个研究方向。该系提供本科生、授课型硕士、科研型硕士、科研型博士项目。

香港大学房地产与建设系(前身为测量系)于1984年6月正式成立，从跨学科的基础上应对测量专业的学术挑战。该系提供四个授课型硕士项目：房地产、建筑项目管理、和综合项目交付。","The Department of Urban Planning and Design (DUPAD) was established in the Faculty of Architecture following the reorganization of the Centre of Urban Planning and Environmental Management (CUPEM) on 1 July 2008 to continue the teaching of urban planning and related areas in housing management and transport which can be dated back to 1980. DUPAD offers taught post-graduate and MPhil and PhD programs in Urban Planning, Urban Design, Housing Management and Transport Policy and Planning.

The Department of Geography of the University of Hong Kong has three research directions: China-related research, environmental research, and urban and transportation research. The department offers undergraduates, taught masters, research masters, and research doctoral programs.

The Department of Real Estate and Construction (REC), formerly known as Department of Surveying, was established in June 1984. The Department has now expanded into an even wider spectrum of expertise, covering virtually every aspect of land, construction, real estate, and conservation, with a growing interest in digital technologies and data analytics.",房地产系,https://www.arch.hku.hk/programmes_/rec/,114.207,22.42
香港大学,University of Hong Kong,,Hong Kong,https://www.arch.hku.hk/programmes_/upad/,HKU,,"香港大学城市规划及设计系(DUPAD)前身是1980年成立的香港大学城市规划及环境管理研究中心(CUPEM)。该中心于2008年改组为城市规划及设计系，承担与城市规划、住房管理、城市交通相关的教学与科研工作。该系提供本科生、授课型硕士、科研型硕士、科研型博士项目。目前开设的全日制授课型硕士项目包括城市规划、城市分析、城市设计、住房管理、交通政策与规划。

香港大学地理系主要有中国相关研究、环境研究、城市和交通研究三个研究方向。该系提供本科生、授课型硕士、科研型硕士、科研型博士项目。

香港大学房地产与建设系(前身为测量系)于1984年6月正式成立，从跨学科的基础上应对测量专业的学术挑战。该系提供四个授课型硕士项目：房地产、建筑项目管理、和综合项目交付。","The Department of Urban Planning and Design (DUPAD) was established in the Faculty of Architecture following the reorganization of the Centre of Urban Planning and Environmental Management (CUPEM) on 1 July 2008 to continue the teaching of urban planning and related areas in housing management and transport which can be dated back to 1980. DUPAD offers taught post-graduate and MPhil and PhD programs in Urban Planning, Urban Design, Housing Management and Transport Policy and Planning.

The Department of Geography of the University of Hong Kong has three research directions: China-related research, environmental research, and urban and transportation research. The department offers undergraduates, taught masters, research masters, and research doctoral programs.

The Department of Real Estate and Construction (REC), formerly known as Department of Surveying, was established in June 1984. The Department has now expanded into an even wider spectrum of expertise, covering virtually every aspect of land, construction, real estate, and conservation, with a growing interest in digital technologies and data analytics.",城市规划与设计系,URBAN PLANNING AND DESIGN,114.207,22.42
香港城市大学,City University of Hong Kong,,Hong Kong,http://bccw.cityu.edu.hk/main/wp_home.asp,CityU,,香港城市大学建筑与土木工程系具有多学科背景，目前研究GIS的老师主要集中在建筑系，GIS应用在城市规划与设计，建筑工程等领域目前受到重视。该系提供土木和建筑工程、施工管理、城市设计和区域规划方面的授课型研究生硕士课程，另外也招收研究型硕士和博士。其近期的研究方向主要包括土木与环境工程、交通、水文、测量、建筑、城市设计与规划等。,"The Department of Architecture and Civil Engineering of the City University of Hong Kong has a multi-disciplinary background. At present, teachers who study GIS are mainly concentrated in the Department of Architecture. The application of GIS in urban planning and design, construction engineering and other fields is currently receiving attention. The department offers taught postgraduate master's programs in civil and architectural engineering, construction management, urban design, and regional planning. Research masters and doctorates are also enrolled. Recent research directions mainly include civil and environmental engineering, transportation, hydrology, surveying, architecture, urban design and planning, etc.",建筑与土木工程系,Department of Architecture and Civil Engineering,114.172,22.336
香港科技大学,The Hong Kong University of Science and Technology,,Hong Kong,https://www.envr.ust.hk/,HKUST,,香港科技大学没有地理系及开设GIS相关专业，但是在Division of Environment and Sustainability有一些老师运用GIS和遥感来模拟环境过程，主要研究环境科学与可持续发展问题。,"The Hong Kong University of Science and Technology does not have a department of geography and GIS-related majors, but in the Division of Environment and Sustainability, some teachers use GIS and remote sensing to simulate environmental processes, focusing on environmental science and sustainable development issues.",环境与可持续发展系,Division of Environment and Sustainability,114.263,22.336
香港中文大学,The Chinese University of Hong Kong ,,Hong Kong,https://www.grm.cuhk.edu.hk/eng/index.html,CUHK,,"地理与资源管理学系是亚洲地理教育研究前沿的地理系之一。地理系的教学和研究围绕四个领域进行，即城市和区域发展、自然和环境系统、地理信息和分析、全球变化和资源管理。地理系内的三位教授分别在环境、能源与可持续发展研究所、未来城市研究所和太空与地球信息科学研究所担任主任。学生可以申请本科和研究生学习，获得地理与资源管理（GRM）的BSSc、MPhil和博士学位（4年）、地理信息科学硕士（Master of Science in Geoinformation Science）和可持续旅游硕士（Master of Social Science in Sustainable Tourism）。

太空与地球信息科学研究所是在中国科学院和香港中文大学的地球信息科学联合实验室（JLGIS）的基础上成立的。研究所设有中高分辨率卫星遥感地面接收站，为学生开展遥感、GIS等研究提供了独特的机会。主要研究领域包括云和多雨地区遥感（CARS）、虚拟地理环境（VGE）、应急响应和自然灾害监测和管理、城市和都市地理信息系统、城市住区环境分析和建模、公共卫生和地理信息系统，智能交通系统（ITS）与空间整合的人文社会科学。研究所下设地球系统与地球信息科学研究生部，提供“環境信息、健康與公共管理”方向的硕士课程（Master of Science in Environmental Information, Health and Public Management (FT & PT)）和“地球系统和地理信息科学”方向的研究型硕士/博士学位的课程(MPhil-PhD Programme in Earth System and GeoInformation Science (Full Time & Part Time))。如有内地的硕士学位，博士学制为3年，否则为4年。","Department of Geography and Resource Management (GRM) at The Chinese University of Hong Kong is one of the top geography departments at the forefront of geography education and research in Asia. We offer a wide range of programmes from bachelor to doctorate levels and have trained high calibre graduates contributing to society. Our departmental staff members also serve as directors of three research institutes in the University, namely the Institute of Environment, Energy and Sustainability, Institute of Future Cities, and Institute of Space and Earth Information Science.
The Department of Geography has fostered an active postgraduate research programme at both the MPhil and PhD levels. There are currently over 20 MPhil and PhD candidates undertaking research in a variety of fields that reflects the broad range of interests and skills of staff members and the facilities of the Department. In addition, over 50 students are studying in the Taught Master's Programmes.

[M.Phil.-Ph.D. in GRM (Master of Philosophy Stream)]( https://www.grm.cuhk.edu.hk/eng/prog/postgrad/_mphil.html)
[M.Phil.-Ph.D. in GRM (Doctor of Philosophy Stream)]( https://www.grm.cuhk.edu.hk/eng/prog/postgrad/_phd.html)
[Master of Science in Geoinformation Science and Smart Cities]( http://mscgis.grm.cuhk.edu.hk/)
[Master of Social Science in Sustainable Tourism](http://mssst.grm.cuhk.edu.hk/)

Institute of Space and Earth Information Science (ISEIS) was established in 2005. It was developed on the base of the Joint Laboratory for GeoInformation Science (JLGIS) of Chinese Academy of Sciences & The Chinese University of Hong Kong. ISEIS consists of three major units: research, education and training, and technology development.

[Master of Science in Environmental Information, Health and Public Management(Full Time & Part Time)](http://www.iseis.cuhk.edu.hk/en/msgpm.html)
[MPhil-PhD Programme in Earth System and GeoInformation Science (Full Time & Part Time)]( http://www.iseis.cuhk.edu.hk/en/phd.html)",地理与资源管理系,Department of Geography and Resource Management (GRM),114.19,22.277
